,id,station,date,prcp,tobs
122,12310,USC00519281,2010-05-03,1.06,70.0
123,12311,USC00519281,2010-05-04,0.11,72.0
124,12312,USC00519281,2010-05-05,0.0,73.0
125,12313,USC00519281,2010-05-06,0.01,72.0
126,12314,USC00519281,2010-05-07,0.16,68.0
127,12315,USC00519281,2010-05-08,0.01,76.0
128,12316,USC00519281,2010-05-09,0.0,77.0
129,12317,USC00519281,2010-05-10,0.0,73.0
130,12318,USC00519281,2010-05-11,0.06,69.0
131,12319,USC00519281,2010-05-12,0.02,71.0
132,12320,USC00519281,2010-05-13,0.06,73.0
133,12321,USC00519281,2010-05-14,0.0,73.0
134,12322,USC00519281,2010-05-15,0.14,77.0
135,12323,USC00519281,2010-05-16,0.13,73.0
136,12324,USC00519281,2010-05-17,0.01,73.0
137,12325,USC00519281,2010-05-18,0.0,72.0
138,12326,USC00519281,2010-05-19,0.0,72.0
139,12327,USC00519281,2010-05-20,0.28,71.0
140,12328,USC00519281,2010-05-21,0.02,73.0
141,12329,USC00519281,2010-05-22,0.18,72.0
142,12330,USC00519281,2010-05-23,0.28,72.0
143,12331,USC00519281,2010-05-24,0.22,72.0
144,12332,USC00519281,2010-05-25,0.33,72.0
145,12333,USC00519281,2010-05-26,0.09,73.0
146,12334,USC00519281,2010-05-27,0.0,69.0
147,12335,USC00519281,2010-05-28,0.0,69.0
148,12336,USC00519281,2010-05-29,0.8,75.0
149,12337,USC00519281,2010-05-30,0.01,74.0
150,12338,USC00519281,2010-05-31,0.04,75.0
151,12339,USC00519281,2010-06-01,0.0,71.0
152,12340,USC00519281,2010-06-02,0.03,71.0
153,12341,USC00519281,2010-06-03,0.0,72.0
154,12342,USC00519281,2010-06-04,0.0,72.0
155,12343,USC00519281,2010-06-05,0.0,76.0
156,12344,USC00519281,2010-06-06,0.0,77.0
157,12345,USC00519281,2010-06-07,0.12,71.0
158,12346,USC00519281,2010-06-08,0.0,73.0
159,12347,USC00519281,2010-06-09,0.0,73.0
160,12348,USC00519281,2010-06-10,0.0,75.0
161,12349,USC00519281,2010-06-11,0.0,81.0
162,12350,USC00519281,2010-06-12,0.0,74.0
163,12351,USC00519281,2010-06-13,0.04,77.0
164,12352,USC00519281,2010-06-14,0.06,70.0
165,12353,USC00519281,2010-06-15,0.11,69.0
166,12354,USC00519281,2010-06-16,0.0,70.0
167,12355,USC00519281,2010-06-17,0.02,72.0
168,12356,USC00519281,2010-06-18,0.19,71.0
169,12357,USC00519281,2010-06-19,0.33,77.0
170,12358,USC00519281,2010-06-20,0.0,76.0
171,12359,USC00519281,2010-06-21,0.0,74.0
172,12360,USC00519281,2010-06-22,0.0,74.0
173,12361,USC00519281,2010-06-23,0.02,74.0
174,12362,USC00519281,2010-06-24,0.07,74.0
175,12363,USC00519281,2010-06-25,0.09,71.0
176,12364,USC00519281,2010-06-26,0.41,80.0
177,12365,USC00519281,2010-06-27,0.05,77.0
178,12366,USC00519281,2010-06-28,0.0,72.0
179,12367,USC00519281,2010-06-29,0.05,72.0
180,12368,USC00519281,2010-06-30,0.0,73.0
181,12369,USC00519281,2010-07-01,0.0,73.0
182,12370,USC00519281,2010-07-02,0.23,71.0
183,12371,USC00519281,2010-07-03,0.38,72.0
184,12372,USC00519281,2010-07-04,0.38,73.0
185,12373,USC00519281,2010-07-05,0.08,74.0
186,12374,USC00519281,2010-07-06,0.14,70.0
187,12375,USC00519281,2010-07-07,0.21,70.0
188,12376,USC00519281,2010-07-08,0.06,73.0
189,12377,USC00519281,2010-07-09,0.02,74.0
190,12378,USC00519281,2010-07-10,0.19,74.0
